sent,tags,parse,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb Reference,Verb Tag,Relation to Verb,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunction Phrases,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Bareness of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
"Hot water for washing is available most of the day , and there is a boiler on each floor to provide drinking water .","Hot/JJ water/NN for/IN washing/NNP is/VBZ available/JJ most/JJS of/IN the/DT day/NN ,/, and/CC there/EX is/VBZ a/DT boiler/NN on/IN each/DT floor/NN to/TO provide/VB drinking/NN water/NN ./.","amod(water-2, Hot-1) nsubj(available-6, water-2) case(washing-4, for-3) nmod:for(water-2, washing-4) cop(available-6, is-5) root(ROOT-0, available-6) dep(available-6, most-7) case(day-10, of-8) det(day-10, the-9) nmod:of(most-7, day-10) cc(available-6, and-12) expl(is-14, there-13) conj:and(available-6, is-14) det(boiler-16, a-15) nsubj(is-14, boiler-16) case(floor-19, on-17) det(floor-19, each-18) nmod:on(boiler-16, floor-19) mark(provide-21, to-20) acl(floor-19, provide-21) compound(water-23, drinking-22) dobj(provide-21, water-23)  ",water,23,"compound(water-23, drinking-22) dobj(provide-21, water-23) ",each floor to provide drinking water .,NN,[],provide,VB,object,,,provide,provide,[],[],[],[],[],[],,[],[],[],['drinking'],[],[],[],[],[],[],[],[],[],[],[],,,singular,bare singular,ambiguous,[],unknown,unknown
It consists not only of clean water and adequate minimal medical facilities but extends to the physical needs of mental development .,It/PRP consists/VBZ not/RB only/RB of/IN clean/JJ water/NN and/CC adequate/JJ minimal/JJ medical/JJ facilities/NNS but/CC extends/VBZ to/TO the/DT physical/JJ needs/NNS of/IN mental/JJ development/NN ./.,"nsubj(consists-2, It-1) nsubj(extends-14, It-1) root(ROOT-0, consists-2) neg(consists-2, not-3) advmod(consists-2, only-4) case(water-7, of-5) amod(water-7, clean-6) nmod:of(consists-2, water-7) cc(water-7, and-8) amod(facilities-12, adequate-9) amod(facilities-12, minimal-10) amod(facilities-12, medical-11) nmod:of(consists-2, facilities-12) conj:and(water-7, facilities-12) cc(consists-2, but-13) conj:but(consists-2, extends-14) case(needs-18, to-15) det(needs-18, the-16) amod(needs-18, physical-17) nmod:to(extends-14, needs-18) case(development-21, of-19) amod(development-21, mental-20) nmod:of(needs-18, development-21)  ",water,7,"case(water-7, of-5) amod(water-7, clean-6) cc(water-7, and-8) conj:and(water-7, facilities-12) nmod:of(consists-2, water-7) ",consists not only of clean water and adequate minimal medical facilities,NN,[],,,,,,,,,"[('of', 'consists')]",['of'],['consists'],[],[],,"[('and', 'facilities')]",['and'],['facilities'],[],['clean'],[],[],[],['of'],[],[],[],[],[],[],,,singular,linked,,[],unknown,unknown
"<p> The quantitative changes in these rights will be demonstrated by indices developed for each , such as malnutrition and starvation ; primary school dropouts and university library acquisitions ; infant mortality and adult longevity ; homelessness and refugees ; per capita income , land ownership and unemployment ; political killings and disappearances , censorship and political NGOs ; the destruction of tropical forests and savannah , water pollution and deaths from contamination .","<p>/RB The/DT quantitative/JJ changes/NNS in/IN these/DT rights/NNS will/MD be/VB demonstrated/VBN by/IN indices/NNS developed/VBN for/IN each/DT ,/, such/JJ as/IN malnutrition/NN and/CC starvation/NN ;/: primary/JJ school/NN dropouts/NNS and/CC university/NN library/NN acquisitions/NNS ;/: infant/JJ mortality/NN and/CC adult/JJ longevity/NN ;/: homelessness/NN and/CC refugees/NNS ;/: per/IN capita/NN income/NN ,/, land/NN ownership/NN and/CC unemployment/NN ;/: political/JJ killings/NNS and/CC disappearances/NNS ,/, censorship/NN and/CC political/JJ NGOs/NNS ;/: the/DT destruction/NN of/IN tropical/JJ forests/NNS and/CC savannah/NN ,/, water/NN pollution/NN and/CC deaths/NNS from/IN contamination/NN ./.","advmod(demonstrated-10, <p>-1) det(changes-4, The-2) amod(changes-4, quantitative-3) nsubjpass(demonstrated-10, changes-4) case(rights-7, in-5) det(rights-7, these-6) nmod:in(changes-4, rights-7) aux(demonstrated-10, will-8) auxpass(demonstrated-10, be-9) root(ROOT-0, demonstrated-10) case(indices-12, by-11) nmod:by(demonstrated-10, indices-12) acl(indices-12, developed-13) case(each-15, for-14) nmod:for(developed-13, each-15) case(malnutrition-19, such-17) mwe(such-17, as-18) nmod:such_as(each-15, malnutrition-19) cc(malnutrition-19, and-20) nmod:such_as(each-15, starvation-21) conj:and(malnutrition-19, starvation-21) amod(dropouts-25, primary-23) compound(dropouts-25, school-24) dep(each-15, dropouts-25) cc(dropouts-25, and-26) compound(acquisitions-29, university-27) compound(acquisitions-29, library-28) dep(each-15, acquisitions-29) conj:and(dropouts-25, acquisitions-29) amod(mortality-32, infant-31) dep(each-15, mortality-32) cc(mortality-32, and-33) amod(longevity-35, adult-34) dep(each-15, longevity-35) conj:and(mortality-32, longevity-35) dep(each-15, homelessness-37) cc(homelessness-37, and-38) dep(each-15, refugees-39) conj:and(homelessness-37, refugees-39) dep(capita-42, per-41) amod(income-43, capita-42) dep(each-15, income-43) compound(ownership-46, land-45) appos(income-43, ownership-46) cc(ownership-46, and-47) appos(income-43, unemployment-48) conj:and(ownership-46, unemployment-48) amod(killings-51, political-50) dep(each-15, killings-51) cc(killings-51, and-52) dep(each-15, disappearances-53) conj:and(killings-51, disappearances-53) dep(each-15, censorship-55) conj:and(killings-51, censorship-55) cc(killings-51, and-56) amod(NGOs-58, political-57) dep(each-15, NGOs-58) conj:and(killings-51, NGOs-58) det(destruction-61, the-60) dep(each-15, destruction-61) case(forests-64, of-62) amod(forests-64, tropical-63) nmod:of(destruction-61, forests-64) cc(each-15, and-65) nmod:for(developed-13, savannah-66) conj:and(each-15, savannah-66) compound(pollution-69, water-68) conj:and(each-15, pollution-69) conj:and(savannah-66, pollution-69) cc(savannah-66, and-70) conj:and(each-15, deaths-71) conj:and(savannah-66, deaths-71) case(contamination-73, from-72) nmod:from(developed-13, contamination-73)  ",water,68,"compound(pollution-69, water-68) ","tropical forests and savannah , water pollution and deaths from contamination",NN,[],,,,,,,,,[],[],[],[],[],,[],[],[],['pollution'],[],[],[],[],[],[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
"To popularize and sustain such campaigns they may advance participation , as among the peasants of Northern Nigeria in reaction to large-scale water and wheat projects .","To/TO popularize/VB and/CC sustain/VB such/JJ campaigns/NNS they/PRP may/MD advance/VB participation/NN ,/, as/IN among/IN the/DT peasants/NNS of/IN Northern/NNP Nigeria/NNP in/IN reaction/NN to/TO large-scale/JJ water/NN and/CC wheat/NN projects/NNS ./.","mark(popularize-2, To-1) dep(advance-9, popularize-2) cc(popularize-2, and-3) conj:and(popularize-2, sustain-4) dep(advance-9, sustain-4) amod(campaigns-6, such-5) dobj(popularize-2, campaigns-6) nsubj(advance-9, they-7) aux(advance-9, may-8) root(ROOT-0, advance-9) dobj(advance-9, participation-10) case(peasants-15, as-12) case(peasants-15, among-13) det(peasants-15, the-14) nmod:among(advance-9, peasants-15) case(Nigeria-18, of-16) compound(Nigeria-18, Northern-17) nmod:of(peasants-15, Nigeria-18) case(reaction-20, in-19) nmod:in(Nigeria-18, reaction-20) case(water-23, to-21) amod(water-23, large-scale-22) nmod:to(reaction-20, water-23) cc(water-23, and-24) compound(projects-26, wheat-25) nmod:to(reaction-20, projects-26) conj:and(water-23, projects-26)  ",water,23,"case(water-23, to-21) amod(water-23, large-scale-22) cc(water-23, and-24) conj:and(water-23, projects-26) nmod:to(reaction-20, water-23) ",Nigeria in reaction to large-scale water and wheat projects .,NN,[],,,,,,,,,"[('to', 'reaction')]",['to'],['reaction'],[],[],,"[('and', 'projects')]",['and'],['projects'],[],[],[],[],[],['to'],[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
"Life expectancy is 53 years ( as compared with 80 years in Japan ) the infant mortality rate remains at 93 per 1,000 according to UNDP Clean water is available to 35% of the population and a latrine is available to 19% .","Life/NNP expectancy/NNP is/VBZ 53/CD years/NNS -LRB-/-LRB- as/IN compared/VBN with/IN 80/CD years/NNS in/IN Japan/NNP -RRB-/-RRB- the/DT infant/JJ mortality/NN rate/NN remains/VBZ at/IN 93/CD per/IN 1,000/CD according/VBG to/TO UNDP/NNP Clean/NNP water/NN is/VBZ available/JJ to/TO 35/CD %/NN of/IN the/DT population/NN and/CC a/DT latrine/NN is/VBZ available/JJ to/TO 19/CD %/NN ./.","compound(expectancy-2, Life-1) nsubj(years-5, expectancy-2) cop(years-5, is-3) nummod(years-5, 53-4) root(ROOT-0, years-5) mark(years-11, as-7) case(years-11, compared-8) mwe(compared-8, with-9) nummod(years-11, 80-10) dep(years-5, years-11) case(Japan-13, in-12) nmod:in(years-11, Japan-13) det(rate-18, the-15) amod(rate-18, infant-16) compound(rate-18, mortality-17) nsubj(remains-19, rate-18) acl:relcl(years-5, remains-19) case(93-21, at-20) nmod:at(remains-19, 93-21) case(1,000-23, per-22) nmod:per(93-21, 1,000-23) case(Clean-27, according-24) mwe(according-24, to-25) compound(Clean-27, UNDP-26) nmod:according_to(remains-19, Clean-27) nsubj(available-30, water-28) cop(available-30, is-29) acl:relcl(Clean-27, available-30) case(%-33, to-31) nummod(%-33, 35-32) nmod:to(available-30, %-33) case(population-36, of-34) det(population-36, the-35) nmod:of(%-33, population-36) cc(years-5, and-37) det(latrine-39, a-38) nsubj(available-41, latrine-39) cop(available-41, is-40) conj:and(years-5, available-41) case(%-44, to-42) nummod(%-44, 19-43) nmod:to(available-41, %-44)  ",water,28,"nsubj(available-30, water-28) ","1,000 according to UNDP Clean water is available to 35% of",NN,[],is,VBZ,subject,is,be,,,[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,singular,bare singular,singular,[],unknown,unknown
Welsh coracles and water cycles could be hired for the specially built boating lake .,Welsh/JJ coracles/NNS and/CC water/NN cycles/NNS could/MD be/VB hired/VBN for/IN the/DT specially/RB built/VBN boating/JJ lake/NN ./.,"amod(coracles-2, Welsh-1) nsubjpass(hired-8, coracles-2) cc(coracles-2, and-3) compound(cycles-5, water-4) conj:and(coracles-2, cycles-5) nsubjpass(hired-8, cycles-5) aux(hired-8, could-6) auxpass(hired-8, be-7) root(ROOT-0, hired-8) case(lake-14, for-9) det(lake-14, the-10) advmod(built-12, specially-11) amod(lake-14, built-12) amod(lake-14, boating-13) nmod:for(hired-8, lake-14)  ",water,4,"compound(cycles-5, water-4) ",Welsh coracles and water cycles could be hired for,NN,[],hired,VBN,subject,hired,hire,,,[],[],[],[],[],[],,[],[],[],['cycles'],[],[],[],[],[],[],[],[],[],[],[],,,singular,bare singular,ambiguous,[],unknown,unknown
"The windmill , which has actually stood on this site since 1832 , is genuine , but is now surrounded by a primitive Faeroe Islands farmhouse , a water mill from Funen and a farmstead from north Jutland .","The/DT windmill/NN ,/, which/WDT has/VBZ actually/RB stood/VBN on/IN this/DT site/NN since/IN 1832/CD ,/, is/VBZ genuine/JJ ,/, but/CC is/VBZ now/RB surrounded/VBN by/IN a/DT primitive/JJ Faeroe/NNP Islands/NNPS farmhouse/NN ,/, a/DT water/NN mill/NN from/IN Funen/NNP and/CC a/DT farmstead/JJ from/IN north/NN Jutland/NN ./.","det(windmill-2, The-1) nsubj(stood-7, windmill-2) nsubj(genuine-15, windmill-2) nsubjpass(surrounded-20, windmill-2) ref(windmill-2, which-4) aux(stood-7, has-5) advmod(stood-7, actually-6) acl:relcl(windmill-2, stood-7) case(site-10, on-8) det(site-10, this-9) nmod:on(stood-7, site-10) case(1832-12, since-11) nmod:since(site-10, 1832-12) cop(genuine-15, is-14) root(ROOT-0, genuine-15) cc(genuine-15, but-17) auxpass(surrounded-20, is-18) advmod(surrounded-20, now-19) conj:but(genuine-15, surrounded-20) case(farmhouse-26, by-21) det(farmhouse-26, a-22) amod(farmhouse-26, primitive-23) compound(farmhouse-26, Faeroe-24) compound(farmhouse-26, Islands-25) nmod:by(surrounded-20, farmhouse-26) det(mill-30, a-28) compound(mill-30, water-29) nmod:by(surrounded-20, mill-30) conj:and(farmhouse-26, mill-30) case(Funen-32, from-31) nmod:from(mill-30, Funen-32) cc(farmhouse-26, and-33) det(Jutland-38, a-34) amod(Jutland-38, farmstead-35) case(north-37, from-36) nmod:from(farmstead-35, north-37) nmod:by(surrounded-20, Jutland-38) conj:and(farmhouse-26, Jutland-38)  ",water,29,"compound(mill-30, water-29) ","Faeroe Islands farmhouse , a water mill from Funen and a",NN,[],,,,,,,,,[],[],[],[],[],,[],[],[],['mill'],[],[],[],[],[],[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
"As the lotus emerging from the waters supports the meditating Buddha and the pool reflects the stars above , so at Einstein 's feet is a reflecting , glimmering , circular surface in which , by looking down , one may see the infinite galaxy above .","As/IN the/DT lotus/NNS emerging/VBG from/IN the/DT waters/NNS supports/VBZ the/DT meditating/VBG Buddha/NN and/CC the/DT pool/NN reflects/VBZ the/DT stars/NNS above/IN ,/, so/RB at/IN Einstein/NNP 's/POS feet/NNS is/VBZ a/DT reflecting/JJ ,/, glimmering/JJ ,/, circular/JJ surface/NN in/IN which/WDT ,/, by/IN looking/VBG down/RP ,/, one/PRP may/MD see/VB the/DT infinite/JJ galaxy/NN above/RB ./.","mark(surface-32, As-1) det(lotus-3, the-2) nsubj(surface-32, lotus-3) acl(lotus-3, emerging-4) mark(supports-8, from-5) det(waters-7, the-6) nsubj(supports-8, waters-7) advcl(emerging-4, supports-8) det(Buddha-11, the-9) amod(Buddha-11, meditating-10) dobj(supports-8, Buddha-11) cc(supports-8, and-12) det(pool-14, the-13) nsubj(reflects-15, pool-14) advcl(emerging-4, reflects-15) conj:and(supports-8, reflects-15) det(stars-17, the-16) dobj(reflects-15, stars-17) nmod(reflects-15, above-18) advmod(reflects-15, so-20) case(feet-24, at-21) nmod:poss(feet-24, Einstein-22) case(Einstein-22, 's-23) nmod:at(so-20, feet-24) cop(surface-32, is-25) det(surface-32, a-26) amod(surface-32, reflecting-27) amod(surface-32, glimmering-29) amod(surface-32, circular-31) advcl(see-42, surface-32) case(which-34, in-33) nmod:in(surface-32, which-34) mark(looking-37, by-36) advcl(surface-32, looking-37) compound:prt(looking-37, down-38) nsubj(see-42, one-40) aux(see-42, may-41) root(ROOT-0, see-42) det(galaxy-45, the-43) amod(galaxy-45, infinite-44) dobj(see-42, galaxy-45) advmod(see-42, above-46)  ",waters,7,"det(waters-7, the-6) nsubj(supports-8, waters-7) ",the lotus emerging from the waters supports the meditating Buddha and,NNS,[],supports,VBZ,subject,supports,support,,,[],[],[],[],[],['the'],definite article,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,plural,linked,singular,[],unknown,unknown
"The tangle sways and undulates sensuously in the water land , because it is a diffused vision , suggests spirituality as well as the physicality of clinging .","The/DT tangle/NN sways/NNS and/CC undulates/NNS sensuously/NN in/IN the/DT water/NN land/NN ,/, because/IN it/PRP is/VBZ a/DT diffused/JJ vision/NN ,/, suggests/VBZ spirituality/NN as/RB well/RB as/IN the/DT physicality/NN of/IN clinging/VBG ./.","det(sways-3, The-1) compound(sways-3, tangle-2) nsubj(suggests-19, sways-3) cc(sways-3, and-4) compound(sensuously-6, undulates-5) conj:and(sways-3, sensuously-6) nsubj(suggests-19, sensuously-6) case(land-10, in-7) det(land-10, the-8) compound(land-10, water-9) nmod:in(sways-3, land-10) mark(vision-17, because-12) nsubj(vision-17, it-13) cop(vision-17, is-14) det(vision-17, a-15) amod(vision-17, diffused-16) dep(sways-3, vision-17) root(ROOT-0, suggests-19) dobj(suggests-19, spirituality-20) cc(spirituality-20, as-21) mwe(as-21, well-22) mwe(as-21, as-23) det(physicality-25, the-24) dobj(suggests-19, physicality-25) conj:and(spirituality-20, physicality-25) case(clinging-27, of-26) nmod:of(physicality-25, clinging-27)  ",water,9,"compound(land-10, water-9) ","and undulates sensuously in the water land , because it is",NN,[],,,,,,,,,[],[],[],[],[],,[],[],[],['land'],[],[],[],[],[],[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
"Tell him that all he need do is to take my body out to sea at Shinagawa and dump emphasis added it in the water "" ( 201-202 ) .",Tell/VB him/PRP that/IN all/DT he/PRP need/MD do/VB is/VBZ to/TO take/VB my/PRP$ body/NN out/RP to/TO sea/NN at/IN Shinagawa/NNP and/CC dump/VB emphasis/NN added/VBD it/PRP in/IN the/DT water/NN ''/'' -LRB-/-LRB- 201-202/CD -RRB-/-RRB- ./.,"csubj(added-21, Tell-1) dobj(Tell-1, him-2) mark(is-8, that-3) nsubj(is-8, all-4) nsubj(take-10, all-4) nsubj(do-7, he-5) aux(do-7, need-6) acl:relcl(all-4, do-7) ccomp(Tell-1, is-8) mark(take-10, to-9) xcomp(is-8, take-10) nmod:poss(body-12, my-11) dobj(take-10, body-12) compound:prt(take-10, out-13) case(sea-15, to-14) nmod:to(take-10, sea-15) case(Shinagawa-17, at-16) nmod:at(sea-15, Shinagawa-17) cc(Tell-1, and-18) conj:and(Tell-1, dump-19) csubj(added-21, dump-19) dobj(dump-19, emphasis-20) root(ROOT-0, added-21) xcomp(added-21, it-22) case(water-25, in-23) det(water-25, the-24) nmod:in(added-21, water-25) dep(added-21, 201-202-28)  ",water,25,"case(water-25, in-23) det(water-25, the-24) nmod:in(added-21, water-25) ","emphasis added it in the water "" ( 201-202 ) .",NN,[],,,,,,,,,"[('in', 'added')]",['in'],['added'],[],['the'],definite article,[],[],[],[],[],[],[],[],['in'],[],[],[],[],[],[],,,singular,linked,,[],unknown,unknown
"The Gaelic word for whiskey , Usquebaugh , literally means "" water of life . ""","The/DT Gaelic/JJ word/NN for/IN whiskey/NN ,/, Usquebaugh/NNP ,/, literally/VBZ means/NN ''/'' water/NN of/IN life/NN ./. ''/''","det(word-3, The-1) amod(word-3, Gaelic-2) nsubj(literally-9, word-3) case(whiskey-5, for-4) nmod:for(word-3, whiskey-5) appos(word-3, Usquebaugh-7) root(ROOT-0, literally-9) compound(water-12, means-10) dobj(literally-9, water-12) case(life-14, of-13) nmod:of(water-12, life-14)  ",water,12,"compound(water-12, means-10) nmod:of(water-12, life-14) dobj(literally-9, water-12) ","Usquebaugh , literally means "" water of life . """,NN,[],literally,VBZ,object,,,literally,literally,[],"[('of', 'life')]",['of'],[],['life'],[],,[],[],[],['means'],[],[],[],[],[],[],[],[],[],[],[],,,singular,bare singular,singular,[],unknown,unknown
Natural water barriers separated the people of these three distinct locations .,Natural/JJ water/NN barriers/NNS separated/VBN the/DT people/NNS of/IN these/DT three/CD distinct/JJ locations/NNS ./.,"amod(barriers-3, Natural-1) compound(barriers-3, water-2) nsubj(separated-4, barriers-3) root(ROOT-0, separated-4) det(people-6, the-5) dobj(separated-4, people-6) case(locations-11, of-7) det(locations-11, these-8) nummod(locations-11, three-9) amod(locations-11, distinct-10) nmod:of(people-6, locations-11)  ",water,2,"compound(barriers-3, water-2) ",Natural water barriers separated the people of,NN,[],separated,VBN,subject,separated,separate,,,[],[],[],[],[],[],,[],[],[],['barriers'],[],[],[],[],[],[],[],[],[],[],[],,,singular,bare singular,ambiguous,[],unknown,unknown
they do not stand stupidly around artificial water tanks ( bars ? ),they/PRP do/VBP not/RB stand/VB stupidly/RB around/IN artificial/JJ water/NN tanks/NNS -LRB-/-LRB- bars/NNP ?/. -RRB-/-RRB-,"nsubj(stand-4, they-1) aux(stand-4, do-2) neg(stand-4, not-3) root(ROOT-0, stand-4) advmod(stand-4, stupidly-5) case(tanks-9, around-6) amod(tanks-9, artificial-7) compound(tanks-9, water-8) nmod:around(stand-4, tanks-9) dep(tanks-9, bars-11)  ",water,8,"compound(tanks-9, water-8) ",not stand stupidly around artificial water tanks ( bars ? ),NN,[],,,,,,,,,[],[],[],[],[],,[],[],[],['tanks'],[],[],[],[],[],[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
"They hunt for water like "" the desert antelope "" ( p.74 ) .",They/PRP hunt/VBZ for/IN water/NN like/IN ''/'' the/DT desert/NN antelope/NNS ''/'' -LRB-/-LRB- p./NN 74/CD -RRB-/-RRB- ./.,"nsubj(hunt-2, They-1) root(ROOT-0, hunt-2) case(water-4, for-3) nmod:for(hunt-2, water-4) case(antelope-9, like-5) det(antelope-9, the-7) compound(antelope-9, desert-8) nmod:like(water-4, antelope-9) dep(hunt-2, p.-12) nummod(p.-12, 74-13)  ",water,4,"case(water-4, for-3) nmod:like(water-4, antelope-9) nmod:for(hunt-2, water-4) ","They hunt for water like "" the desert antelope",NN,[],,,,,,,,,"[('like', 'antelope'), ('for', 'hunt')]","['like', 'for']",['hunt'],['antelope'],[],,[],[],[],[],[],[],[],[],['for'],[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
"17 <p> Tayo dreams of the spotted cattle again and even in that vision there are images of water : "" he saw them scatter over the crest of the round base hill , running away from him , scattering out around him like ripples in still water "" ( p. 181 ) .","17/CD <p>/NNP Tayo/NNP dreams/NNS of/IN the/DT spotted/JJ cattle/NNS again/RB and/CC even/RB in/IN that/DT vision/NN there/RB are/VBP images/NNS of/IN water/NN :/: ''/'' he/PRP saw/VBD them/PRP scatter/VBP over/IN the/DT crest/NN of/IN the/DT round/NN base/NN hill/NN ,/, running/VBG away/RP from/IN him/PRP ,/, scattering/VBG out/RP around/IN him/PRP like/IN ripples/NNS in/IN still/RB water/NN ''/'' -LRB-/-LRB- p./CD 181/CD -RRB-/-RRB- ./.","nummod(dreams-4, 17-1) compound(dreams-4, <p>-2) compound(dreams-4, Tayo-3) nsubj(images-17, dreams-4) case(cattle-8, of-5) det(cattle-8, the-6) amod(cattle-8, spotted-7) nmod:of(dreams-4, cattle-8) advmod(cattle-8, again-9) cc(again-9, and-10) advmod(cattle-8, even-11) conj:and(again-9, even-11) case(vision-14, in-12) det(vision-14, that-13) nmod:in(cattle-8, vision-14) advmod(images-17, there-15) cop(images-17, are-16) root(ROOT-0, images-17) case(water-19, of-18) nmod:of(images-17, water-19) nsubj(saw-23, he-22) parataxis(images-17, saw-23) nsubj(scatter-25, them-24) ccomp(saw-23, scatter-25) case(crest-28, over-26) det(crest-28, the-27) nmod:over(scatter-25, crest-28) case(hill-33, of-29) det(hill-33, the-30) compound(hill-33, round-31) compound(hill-33, base-32) nmod:of(crest-28, hill-33) xcomp(scatter-25, running-35) compound:prt(running-35, away-36) case(him-38, from-37) nmod:from(running-35, him-38) xcomp(scatter-25, scattering-40) compound:prt(scattering-40, out-41) case(him-43, around-42) nmod:around(scattering-40, him-43) case(ripples-45, like-44) nmod:like(scattering-40, ripples-45) case(water-48, in-46) advmod(water-48, still-47) nmod:in(ripples-45, water-48) compound(181-52, p.-51) dep(saw-23, 181-52)  ",water,19,"case(water-19, of-18) nmod:of(images-17, water-19) ","vision there are images of water : "" he saw them",NN,[],,,,,,,,,"[('of', 'images')]",['of'],['images'],[],[],,[],[],[],[],[],[],[],[],['of'],[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
"17 <p> Tayo dreams of the spotted cattle again and even in that vision there are images of water : "" he saw them scatter over the crest of the round base hill , running away from him , scattering out around him like ripples in still water "" ( p. 181 ) .","17/CD <p>/NNP Tayo/NNP dreams/NNS of/IN the/DT spotted/JJ cattle/NNS again/RB and/CC even/RB in/IN that/DT vision/NN there/RB are/VBP images/NNS of/IN water/NN :/: ''/'' he/PRP saw/VBD them/PRP scatter/VBP over/IN the/DT crest/NN of/IN the/DT round/NN base/NN hill/NN ,/, running/VBG away/RP from/IN him/PRP ,/, scattering/VBG out/RP around/IN him/PRP like/IN ripples/NNS in/IN still/RB water/NN ''/'' -LRB-/-LRB- p./CD 181/CD -RRB-/-RRB- ./.","nummod(dreams-4, 17-1) compound(dreams-4, <p>-2) compound(dreams-4, Tayo-3) nsubj(images-17, dreams-4) case(cattle-8, of-5) det(cattle-8, the-6) amod(cattle-8, spotted-7) nmod:of(dreams-4, cattle-8) advmod(cattle-8, again-9) cc(again-9, and-10) advmod(cattle-8, even-11) conj:and(again-9, even-11) case(vision-14, in-12) det(vision-14, that-13) nmod:in(cattle-8, vision-14) advmod(images-17, there-15) cop(images-17, are-16) root(ROOT-0, images-17) case(water-19, of-18) nmod:of(images-17, water-19) nsubj(saw-23, he-22) parataxis(images-17, saw-23) nsubj(scatter-25, them-24) ccomp(saw-23, scatter-25) case(crest-28, over-26) det(crest-28, the-27) nmod:over(scatter-25, crest-28) case(hill-33, of-29) det(hill-33, the-30) compound(hill-33, round-31) compound(hill-33, base-32) nmod:of(crest-28, hill-33) xcomp(scatter-25, running-35) compound:prt(running-35, away-36) case(him-38, from-37) nmod:from(running-35, him-38) xcomp(scatter-25, scattering-40) compound:prt(scattering-40, out-41) case(him-43, around-42) nmod:around(scattering-40, him-43) case(ripples-45, like-44) nmod:like(scattering-40, ripples-45) case(water-48, in-46) advmod(water-48, still-47) nmod:in(ripples-45, water-48) compound(181-52, p.-51) dep(saw-23, 181-52)  ",water,48,"case(water-48, in-46) advmod(water-48, still-47) nmod:in(ripples-45, water-48) ","him like ripples in still water "" ( p. 181 )",NN,[],,,,,,,,,"[('in', 'ripples')]",['in'],['ripples'],[],[],,[],[],[],[],[],[],[],[],['in'],['still'],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
"Much of their labor-was heavy and burdensome , including collecting and hauling firewood and water .","Much/RB of/IN their/PRP$ labor-was/NNS heavy/JJ and/CC burdensome/JJ ,/, including/VBG collecting/VBG and/CC hauling/VBG firewood/NN and/CC water/NN ./.","root(ROOT-0, Much-1) case(labor-was-4, of-2) nmod:poss(labor-was-4, their-3) nmod:of(Much-1, labor-was-4) amod(labor-was-4, heavy-5) cc(heavy-5, and-6) amod(labor-was-4, burdensome-7) conj:and(heavy-5, burdensome-7) case(collecting-10, including-9) acl:including(labor-was-4, collecting-10) cc(collecting-10, and-11) acl:including(labor-was-4, hauling-12) conj:and(collecting-10, hauling-12) dobj(collecting-10, firewood-13) cc(firewood-13, and-14) dobj(collecting-10, water-15) conj:and(firewood-13, water-15)  ",water,15,"dobj(collecting-10, water-15) conj:and(firewood-13, water-15) ",collecting and hauling firewood and water .,NN,[],collecting,VBG,object,,,collecting,collect,[],[],[],[],[],[],,"[('and', 'firewood')]",['and'],['firewood'],[],[],[],[],[],[],[],[],[],[],[],[],,,singular,bare singular,ambiguous,[],unknown,unknown
