sent,Noun,Relevant Dependencies,Noun Tag,Negation,Verb Tag,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
<p> Dolly the sheep will never comprehend the significance of her existence .,sheep,"det(sheep-4, the-3) dep(Dolly-2, sheep-4) ",NN,,,,,,,,,,,,the,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"<p> But in human society , the announcement in February that a research team at the Roslin Institute in Scotland had created Dolly as a genetically identical clone of another sheep caused shock waves .",sheep,"case(sheep-31, of-29) det(sheep-31, another-30) nmod:of(clone-28, sheep-31) ",NN,,,,,,,,of clone,of,clone,,another,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
<p> The conceptual simplicity used by Dr. Ian Wilmut and his team to replicate Dolly as a lamb growing into the genetically identical match of the sheep whose DNA she carries has raised expectations -- and fears -- that it may soon be possible to do the same thing with humans .,sheep,"case(sheep-27, of-25) det(sheep-27, the-26) ref(sheep-27, whose-28) acl:relcl(sheep-27, carries-31) nmod:of(match-24, sheep-27) nmod:poss(DNA-29, sheep-27) ",NN,,,,,,,,of match,of,match,,the,,,,,dna,,,,,,,,,,,singular,,[],unknown,unknown
"The Birth of a Clone <p> The complexity may be in the details , but the general concept of cloning a mammal , such as Dolly the sheep ( and someday , presumably , humans ) , is fairly simple : A fertilized egg from a female is put through enucleation , a process that empties the egg of cells containing DNA from the mother and father .",sheep,"det(sheep-28, the-27) appos(sheep-28, humans-35) nsubj(simple-40, sheep-28) ",NN,,VBZ,is,be,,,,,,,,the,,,,,,,,,"modified, humans",,humans,,,,,singular,singular,[],unknown,unknown
"Frequently , "" Scalia wrote , "" an issue of this sort will come before the Court clad , so to speak , in sheep 's clothing : the potential of the asserted principle to effect important change in the equilibrium of power is not immediately evident , and must be discerned by a careful and perceptive analysis . """,sheep,"case(sheep-25, 's-26) nmod:poss(clothing-27, sheep-25) ",NN,,,,,,,,,,,,,,,,,clothing,,,,,,,,,,,singular,,[],unknown,unknown
"Here the splicing together of shots of active microbes ( filmed using the technique of microcinematography ) with biographical sequences and documentary footage relating the salvation of the silk , wine , and sheep industries as a result of Pasteur 's work becomes emblematic of the interpenetration of the themes of scientific perception and collective productivity .",sheep,"compound(industries-35, sheep-34) ",NN,,,,,,,,,,,,,,,industries,,,,,,,,,,,,,singular,,[],unknown,unknown
"By reviewing documentary sources as well as excavations from other Greenland farm sites , they found that "" 15 cows and 50 sheep would be the norm on a relatively large farm "" ( 103 ) .",sheep,"nummod(sheep-23, 50-22) conj:and(cows-20, sheep-23) nsubj(norm-27, sheep-23) ",NN,,VB,be,be,,,,,,,,,and,cows,,,,,50,,,,,,,50,other,singular,ambiguous,['O-DEN'],countable,unknown
"In fact , sheep , goats , and horses could even spend much of the winter outside foraging .",sheep,"conj:and(sheep-4, goats-6) cc(sheep-4, and-8) conj:and(sheep-4, horses-9) nsubj(spend-12, sheep-4) ",NN,,VB,spend,spend,,,,,,,,,"and, and","goats, horses",,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"Large , well-build byres and hay barns ... , animal bones ... , and the few written sources ... all indicate that the pasturage of cattle , sheep , and goats was the determining factor in the location of the Norse farms "" ( 407 ) .",sheep,"nmod:of(pasturage-24, sheep-28) conj:and(cattle-26, sheep-28) ",NN,,,,,,,,of pasturage,of,pasturage,,,and,cattle,,,,,,,,,,,,,,singular,,[],unknown,unknown
"But these attempts to create visual metaphors in cinema did not impress Borges , as his criticism of Chaplin 's use of intellectual montage shows : <p> Chaplin shows a crowd of workers entering a factory ; then a second horde , this time of sheep , entering a pen . """,sheep,"case(sheep-46, of-45) nmod:of(time-44, sheep-46) ",NN,,,,,,,,of time,of,time,,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"<p> sup9 In this context , it is interesting to note that in Juan Ruiz 's Libro de Buen Amor , Pitas Pajas , the artist who , in order to ensure his wife 's chastity , paints a small sheep under his wife 's bellybutton before leaving on a journey , tells her that he is going to Flanders with the following words : "" yo volo ir a Frandes , portare muyta dona "" ( 475b ) .",sheep,"det(sheep-41, a-39) amod(sheep-41, small-40) dobj(paints-38, sheep-41) ",NN,,VBD,,,paints,paint,,,,,,a,,,,small,,,,,,,,,,a,unit,singular,ambiguous,['A+N'],countable,unknown
"<p> In Iceland , where there are no red foxes , the arctic fox is generally regarded as vermin because it preys on eider ducks ( many farmers supplement their income by harvesting eiderdown every summer ) ; arctic foxes are also accused of killing lambs and even sheep .",sheep,"advmod(sheep-49, even-48) nmod:of(accused-43, sheep-49) conj:and(lambs-46, sheep-49) ",NN,,,,,,,,of accused,of,accused,,,and,lambs,,,,,,even,,,,,,,,singular,,[],unknown,unknown
"<p> By Bill Lee , ARS <p> 
##4016599 The first practical test for diagnosing the sheep disease scrapie in live animals may help the livestock industry gain the upper hand on -- and eventually eradicate -- one of its worst problems .",sheep,"compound(scrapie-19, sheep-17) ",NN,,VBG,,,diagnosing,diagnose,,,,,,,,,scrapie,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"<p> To glimpse what a quick , easy , inexpensive scrapie test might mean to the sheep industry , you first have to know what sheep producers endure without such a test .",sheep,"compound(industry-18, sheep-17) ",NN,,,,,,,,,,,,,,,industry,,,,,,,,,,,,,singular,,[],unknown,unknown
"<p> To glimpse what a quick , easy , inexpensive scrapie test might mean to the sheep industry , you first have to know what sheep producers endure without such a test .",sheep,"compound(producers-27, sheep-26) ",NN,,VBP,endure,endure,,,,,,,,,,,producers,,,,,,,,,,,,,singular,plural,['EX-PL'],countable,unknown
"The ram was ultimately found to have scrapie , a brain disease that causes sheep to behave erratically , lose weight , and eventually die .",sheep,"dobj(causes-14, sheep-15) ",NN,,VBZ,,,causes,cause,,,,,,,,,,,,,,,,,,,,,,singular,singular,[],unknown,unknown
"<p> This time , the Sloans destroyed all their Suffolk sheep .",sheep,"det:predet(sheep-11, all-8) nmod:poss(sheep-11, their-9) compound(sheep-11, Suffolk-10) dobj(destroyed-7, sheep-11) ",NNS,,VBD,,,destroyed,destroy,,,,,,all,,,suffolk,,,their,,,,,,,,,,ambiguous,ambiguous,[],unknown,unknown
"<p> The incidence of scrapie seems low -- only a few dozen cases are Black-faced sheep , including Suffolks have had the majority of the cases detected nationwide .",sheep,"advmod(sheep-16, only-9) nsubj(sheep-16, cases-13) cop(sheep-16, are-14) amod(sheep-16, Black-faced-15) nmod:including(sheep-16, Suffolks-19) parataxis(seems-6, sheep-16) ",NN,,VBP,,,are,be,,including Suffolks,including,,suffolks,,,,,,,,,only,,,,,,,,singular,plural,['EX-PL'],countable,unknown
"<p> A research team headed by ARS microbiologist Katherine I. O'Rourke discovered that prions collect in pockets of lymphoid tissue in a sheep 's nictitating membrane , or third eyelid .",sheep,"det(sheep-23, a-22) case(sheep-23, 's-24) nmod:poss(membrane-26, sheep-23) ",NN,,,,,,,,,,,,a,,,,,membrane,,,,,,,,,a,unit,singular,,['A+N'],countable,unknown
"<p> Even though the test is not yet available , sheep producers are excited .",sheep,"compound(producers-12, sheep-11) ",NN,,VBP,are,be,,,,,,,,,,,producers,,,,,,,,,,,,,singular,plural,['EX-PL'],countable,unknown
The new test has identified prions in 1-year-old sheep .,sheep,"case(sheep-9, in-7) amod(sheep-9, 1-year-old-8) nmod:in(prions-6, sheep-9) ",NN,,,,,,,,in prions,in,prions,,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
<p> PHOTO ( COLOR ) : New live-animal test for scrapie <p> Microbiologist Katherine O'Rourke prepares a sample of sheep eyelid tissue for the scrapie test .,sheep,"compound(tissue-22, sheep-20) ",NN,,,,,,,,,,,,,,,tissue,,,,,,,,,,,,,singular,,[],unknown,unknown
A new monoclonal antibody test can detect telltale prions in lymphoid tissue taken from a sheep 's third eyelid .,sheep,"det(sheep-16, a-15) case(sheep-16, 's-17) nmod:poss(eyelid-19, sheep-16) ",NN,,,,,,,,,,,,a,,,,,eyelid,,,,,,,,,a,unit,singular,,['A+N'],countable,unknown
"The loss of cattle , sheep , goats , and horses from trypanosomosis has deprived rural populations of the draft power essential to improve and increase crop production .",sheep,"nmod:of(loss-2, sheep-6) conj:and(cattle-4, sheep-6) ",NNS,,,,,,,,of loss,of,loss,,,and,cattle,,,,,,,,,,,,,,ambiguous,,[],unknown,unknown
"His brow furrowed , and he suggested that I look into the case of Dolly the sheep . """,sheep,"case(sheep-17, of-14) compound(sheep-17, Dolly-15) det(sheep-17, the-16) nmod:of(case-13, sheep-17) ",NN,,,,,,,,of case,of,case,,the,,,dolly,,,,,,,,,,,,,singular,,[],unknown,unknown
"Under the circumstances , try as I may , I can not see what the case of Dolly the sheep has to do with literature .",sheep,"case(sheep-20, of-17) compound(sheep-20, Dolly-18) det(sheep-20, the-19) nmod:of(case-16, sheep-20) ",NN,,,,,,,,of case,of,case,,the,,,dolly,,,,,,,,,,,,,singular,,[],unknown,unknown
"It 's a sheep in wolf 's clothing . """,sheep,"nsubj(sheep-4, It-1) cop(sheep-4, 's-2) det(sheep-4, a-3) nmod:in(sheep-4, clothing-8) root(ROOT-0, sheep-4) ",NN,,,,,,,,in clothing,in,,clothing,a,,,,,,,,,,,,,,a,unit,singular,,['A+N'],countable,unknown
"So that , even if its weirdness is a matter of surfaces , the incomprehensibility of Gehry 's building goes deep ; it may not be a wolf but it is not a sheep either .",sheep,"nsubj(sheep-34, it-30) cop(sheep-34, is-31) neg(sheep-34, not-32) det(sheep-34, a-33) advmod(sheep-34, either-35) parataxis(goes-20, sheep-34) conj:but(wolf-28, sheep-34) ",NN,not,VBZ,,,is,be,,,,,,a,but,wolf,,,,,,either,,,,,,a,unit,singular,singular,['A+N'],countable,verdical
They have also made sheep that grow 30 percent faster and will soon make their wool grow faster as well .,sheep,"ref(sheep-5, that-6) acl:relcl(sheep-5, grow-7) acl:relcl(sheep-5, make-14) dobj(made-4, sheep-5) nsubj(grow-7, sheep-5) nsubj(make-14, sheep-5) ",NN,,VBP,grow,grow,,,,,,,,,,,,,,,,,,,,,,,,singular,plural,['EX-PL'],countable,unknown
"Dolly was reported as the first cloned mammal , a sheep .",sheep,"det(sheep-11, a-10) appos(mammal-8, sheep-11) ",NN,,,,,,,,,,,,a,,,,,,,,,"modifier, mammal",mammal,,,,a,unit,singular,,['A+N'],countable,unknown
"Shortly after Dolly came Polly , a cloned sheep that features a customized human gene in its biological code .",sheep,"det(sheep-9, a-7) amod(sheep-9, cloned-8) ref(sheep-9, that-10) acl:relcl(sheep-9, features-11) appos(Polly-5, sheep-9) nsubj(features-11, sheep-9) ",NN,,VBZ,features,feature,,,,,,,,a,,,,cloned,,,,,"modifier, polly",polly,,,,a,unit,singular,singular,['A+N'],countable,unknown
"He was born south of the city in 1942 , in the desert where his father , a Bedouin tribesman , herded sheep and goats .",sheep,"cc(sheep-23, and-24) conj:and(sheep-23, goats-25) dobj(herded-22, sheep-23) ",NN,,VBD,,,herded,herd,,,,,,,and,goats,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"However , sheep need shepherds .",sheep,"nsubj(need-4, sheep-3) ",NN,,VBP,need,need,,,,,,,,,,,,,,,,,,,,,,,,singular,plural,['EX-PL'],countable,unknown
"Campbell 's Five Year Industrial Plan ( FYIP ) emphasized the cultivation of small gardens and small plots of wheat , the construction of a flour mill and a sawmill , and sheep grazing .",sheep,"compound(grazing-34, sheep-33) ",NN,,VBD,,,emphasized,emphasize,,,,,,,,,grazing,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"A full-blood partnership borrowed $2,000 from government credit sources , pooling its money with other full-bloods who had received loans to form a large sheep herd ; twelve full-blood borrowers repaid the principal and the interest on schedule .",sheep,"compound(herd-27, sheep-26) ",NN,,VB,,,form,form,,,,,,,,,herd,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"Since the mid-nineteenth century , the wind has been credited with improving the region 's winter pasturage , ensuring that -- in most years , at least -- cattle and sheep are able to reach the rich prairie grasses that otherwise would be buried under a thick cover of snow .",sheep,"conj:and(cattle-29, sheep-31) nsubj(able-33, sheep-31) nsubj(reach-35, sheep-31) ",NN,,VBP,are,be,,,,,,,,,and,cattle,,,,,,,,,,,,,,singular,plural,['EX-PL'],countable,unknown
"1886 ) of a pioneer Chinook , Montana , sheep rancher -- discusses the wind in her unpublished 1968 reminiscence , describing it as a great benefit to the sheep and cattle raisers of the northwestern Plains ( pp.",sheep,"compound(rancher-11, sheep-10) ",NN,,,,,,,,,,,,,,,rancher,,,,,,,,,,,,,singular,,[],unknown,unknown
"1886 ) of a pioneer Chinook , Montana , sheep rancher -- discusses the wind in her unpublished 1968 reminiscence , describing it as a great benefit to the sheep and cattle raisers of the northwestern Plains ( pp.",sheep,"case(sheep-30, to-28) det(sheep-30, the-29) nmod:to(benefit-27, sheep-30) ",NN,,,,,,,,to benefit,to,benefit,,the,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"The Plains produce significant quantities of cattle , wheat , cotton , sheep , coal , oil , natural gas , and metals .",sheep,"dep(gas-20, sheep-13) ",NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"Most of Mongolia 's 32 million head of livestock ( camels , cattle , yaks , horses , sheep , and goats ) graze on these steppe lands , though some also make use of forested ranges , high mountain pastures , and the scant forage of the true desert .",sheep,"dep(Most-1, sheep-19) conj:and(camels-11, sheep-19) ",NN,,,,,,,,,,,,,and,camels,,,,,,,,,,,,,,singular,,[],unknown,unknown
"In khoshuun with large populations of shabinar , seasonal grazing areas and migratory routes were dictated by the leaders of each herding contingent ( the camel herders or sheep herders ) , according to the wishes of the head lama or prince ( Simukov 1993 ) .",sheep,"compound(herders-30, sheep-29) ",NN,,,,,,,,,,,,,,,herders,,,,,,,,,,,,,singular,,[],unknown,unknown
"The holdings of the gegen ( a title used in reference to an incarnate lama ) in the mid-nineteenth century included 5,279 camels , 4,884 horses , 1,774 cattle , and 18,070 sheep and goats .",sheep,"nummod(sheep-33, 18,070-32) cc(sheep-33, and-34) conj:and(sheep-33, goats-35) dobj(included-21, sheep-33) conj:and(camels-23, sheep-33) ",NN,,VBD,,,included,include,,,,,,,"and, and","goats, camels",,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"These continued , in a modified form , the long migrations of the nomadic sheep and horse herders , wintering both south of Ikh Bogd Mountain and in the low Narin Khar Range to its north , then moving north in summer to the southern slopes of the Khangai Mountains along the Tuin River .",sheep,"case(sheep-15, of-12) det(sheep-15, the-13) amod(sheep-15, nomadic-14) cc(sheep-15, and-16) conj:and(sheep-15, horse-17) nmod:of(migrations-11, sheep-15) ",NN,,,,,,,,of migrations,of,migrations,,the,and,horse,,nomadic,,,,,,,,,,,,singular,,[],unknown,unknown
"<p> From these data , Simukov concluded that the long migrations of the highly mobile sheep and horse herders were not an economic or ecological necessity but , rather , a byproduct of the feudal system and the gegen 's desire to control his subjects and the surplus they produced .",sheep,"case(sheep-16, of-12) det(sheep-16, the-13) amod(sheep-16, mobile-15) cc(sheep-16, and-17) conj:and(sheep-16, herders-19) nmod:of(migrations-11, sheep-16) ",NN,,,,,,,,of migrations,of,migrations,,the,and,herders,,mobile,,,,,,,,,,,,singular,,[],unknown,unknown
Nomadic herders of the monastery 's sheep and horses ; 4 .,sheep,"case(sheep-7, of-3) nmod:poss(sheep-7, monastery-5) cc(sheep-7, and-8) conj:and(sheep-7, horses-9) nmod:of(herders-2, sheep-7) ",NN,,,,,,,,of herders,of,herders,,,and,horses,,,,monastery,,,,,,,,,,singular,,[],unknown,unknown
"During the 1700s , rural discontent was provoked by enclosure laws and ensuing competition for forest resources : game , timber , firewood , and forage for cattle and sheep .",sheep,"nmod:for(game-19, sheep-30) conj:and(cattle-28, sheep-30) ",NN,,,,,,,,for game,for,game,,,and,cattle,,,,,,,,,,,,,,singular,,[],unknown,unknown
"Forestry officials attempted to administer a forest code imported from Europe that strictly curtailed traditional subsistence activities , including the pasturing of sheep and goats .",sheep,"case(sheep-23, of-22) cc(sheep-23, and-24) conj:and(sheep-23, goats-25) nmod:of(pasturing-21, sheep-23) ",NN,,,,,,,,of pasturing,of,pasturing,,,and,goats,,,,,,,,,,,,,,singular,,[],unknown,unknown
"4 ) , milking , or shearing sheep , and these tasks , which made them sweaty , smelly , and visible , made them unacceptable as representations for a female side to the nation .",sheep,"amod(sheep-8, shearing-7) conj:or(milking-4, sheep-8) ",NN,,,,,,,,,,,,,or,milking,,shearing,,,,,,,,,,,,singular,,[],unknown,unknown
"<p> The piece de resistance : a sheep 's head , roasted whole , with fleece , skin , eyes and brains still intact .",sheep,"det(sheep-8, a-7) case(sheep-8, 's-9) nmod:poss(head-10, sheep-8) ",NN,,,,,,,,,,,,a,,,,,head,,,,,,,,,a,unit,singular,,['A+N'],countable,unknown
"Goats , concupiscent animals with cloven hooves , separated from sheep allegorically in the Bible , are routinely associated with the devil .",sheep,"compound(allegorically-12, sheep-11) ",NN,,,,,,,,,,,,,,,allegorically,,,,,,,,,,,,,singular,,[],unknown,unknown
"The stock figure of the Machiavel , like the commonplace connotation of "" rhetoric , "" calls to mind a calculating schemer who will use any means to attain an end , a manipulator of appearances who will wear sheep 's clothing to satisfy wolfish appetites for power .",sheep,"case(sheep-40, 's-41) nmod:poss(clothing-42, sheep-40) ",NN,,,,,,,,,,,,,,,,,clothing,,,,,,,,,,,singular,,[],unknown,unknown
"It feels like condors should be there , "" Wallace says of Baja 's 10,000-foot mountains and 30- to 40-foot-wide ridges , and its plentiful sea lion , bighorn sheep , and other potential food sources for the birds .",sheep,"compound(sheep-31, bighorn-30) nmod:to(says-11, sheep-31) conj:and(ridges-22, sheep-31) ",NN,,,,,,,,to says,to,says,,,and,ridges,bighorn,,,,,,,,,,,,,singular,,[],unknown,unknown
"The cover illustration of Nature ( 27 February 1997 ) announced the birth of Dolly , the ewe cloned from an adult sheep in Scotland , and Science ( 19 December 1997 ) proclaimed Dolly to be the "" breakthrough "" of the year .",sheep,"case(sheep-23, from-20) det(sheep-23, an-21) amod(sheep-23, adult-22) nmod:in(sheep-23, Scotland-25) nmod:from(cloned-19, sheep-23) ",NN,,,,,,,,"in Scotland, from cloned","in, from",cloned,scotland,an,,,,adult,,,,,,,,,,an,unit,singular,,['A+N'],countable,unknown
"Why , then , the sudden , almost unprecedented attention to the announcement of a cloned sheep ?",sheep,"case(sheep-17, of-14) det(sheep-17, a-15) amod(sheep-17, cloned-16) nmod:of(attention-10, sheep-17) ",NN,,,,,,,,of attention,of,attention,,a,,,,cloned,,,,,,,,,,a,unit,singular,,['A+N'],countable,unknown
"Frogs are cheap in the United States , as are sheep in Scotland .",sheep,"mark(sheep-11, as-9) cop(sheep-11, are-10) nmod:in(sheep-11, Scotland-13) advcl(cheap-3, sheep-11) ",NN,,,,,,,,in Scotland,in,,scotland,,,,,,,,,,,,,,as,,,singular,,[],unknown,nonverdical
"<p> Finally , the experiments resulted in the most developmentally advanced cloned animals produced with adult nuclei before the advent of Dolly , the sheep cloned from an adult mammary gland cell by Wilmut et al .",sheep,"det(sheep-25, the-24) acl(sheep-25, cloned-26) appos(Dolly-22, sheep-25) ",NN,,,,,,,,,,,,the,,,,,,,,,"modifier, dolly",dolly,,,,,,singular,,[],unknown,unknown
<p> Several studies in sheep and cattle deserve further discussion .,sheep,"case(sheep-5, in-4) cc(sheep-5, and-6) conj:and(sheep-5, cattle-7) nmod:in(studies-3, sheep-5) ",NN,,,,,,,,in studies,in,studies,,,and,cattle,,,,,,,,,,,,,,singular,,[],unknown,unknown
Dolly and two other cloned sheep were reported to have telomeres that were shorter than those of age-matched controls ( Shiels et al .,sheep,"nummod(sheep-6, two-3) amod(sheep-6, other-4) compound(sheep-6, cloned-5) conj:and(Dolly-1, sheep-6) nsubjpass(reported-8, sheep-6) nsubj(have-10, sheep-6) ",NN,,VB,have,have,,,,,,,,,and,dolly,cloned,other,,,two,,,,,,,two,other,singular,ambiguous,['O-DEN'],countable,unknown
It remains to be seen if the reduced telomere lengths will have an effect during the lifetime of the sheep .,sheep,"case(sheep-20, of-18) det(sheep-20, the-19) nmod:of(lifetime-17, sheep-20) ",NN,,,,,,,,of lifetime,of,lifetime,,the,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
Bluetongue viruses can cause serious illness and death in sheep .,sheep,"case(sheep-10, in-9) nmod:in(cause-4, sheep-10) ",NN,,,,,,,,in cause,in,cause,,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
<p> A sheep with bluetongue can develop swollen lips and tongue .,sheep,"det(sheep-3, A-2) nmod:with(sheep-3, bluetongue-5) nsubj(develop-7, sheep-3) ",NN,,VB,develop,develop,,,,with bluetongue,with,,bluetongue,a,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"While less than 5 percent of infected U.S. sheep die , bluetongue strains in other countries can cause much higher mortality .",sheep,"case(sheep-9, of-6) amod(sheep-9, infected-7) compound(sheep-9, U.S.-8) nmod:of(percent-5, sheep-9) ",NN,,,,,,,,of percent,of,percent,,,,,,infected,,,,,,,,,,,,singular,,[],unknown,unknown
This costs U.S. cattle and sheep producers an estimated $125 million annually in lost trade and in testing to certify that the animals or products do n't carry any of the bluetongue viruses .,sheep,"compound(producers-7, sheep-6) ",NN,,VBZ,,,costs,cost,,,,,,,,,producers,,,,,,,,,,,,,singular,singular,[],unknown,unknown
"<p> The compost is made from cow , horse and sheep manure , straw , grape skins and grape pomace . """,sheep,"conj:and(cow-7, sheep-11) compound(manure-12, sheep-11) ",NN,,,,,,,,,,,,,and,cow,manure,,,,,,,,,,,,,singular,,[],unknown,unknown
"We do n't compost the vine trimmings because the sheep push them into the ground while grazing , "" says farm manager Javier Meza .",sheep,"det(sheep-10, the-9) nsubj(push-11, sheep-10) ",NN,,VBP,push,push,,,,,,,,the,,,,,,,,,,,,,,,,singular,plural,['EX-PL'],countable,unknown
"PREFORMATTED TABLE <p> And this too is one of our visions of the warrior - the warrior as pure expression of will ; the warrior as wolf in a herd of sheep , overcoming and eating all we hold dear ; the warrior as criminal of the most horrific sort - the criminal who acts in furtherance of an agenda wholly his own .",sheep,"case(sheep-32, of-31) nmod:of(herd-30, sheep-32) ",NN,,,,,,,,of herd,of,herd,,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
Even the best families have their black sheep .,sheep,"nmod:poss(sheep-8, their-6) amod(sheep-8, black-7) dobj(have-5, sheep-8) ",NN,,VBP,,,have,have,,,,,,,,,,black,,their,,,,,,,,,,singular,plural,['EX-PL'],countable,unknown
"A rancher who runs cattle near Red Lodge , over by the park 's northeast comer , said he was too busy dealing with bears to worry about wolves yet , "" but if I had sheep -- wolves are hell on sheep -- I 'd go crazy over this Yellowstone thing . """,sheep,"dobj(had-36, sheep-37) ",NN,,VBD,,,had,have,,,,,,,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"A rancher who runs cattle near Red Lodge , over by the park 's northeast comer , said he was too busy dealing with bears to worry about wolves yet , "" but if I had sheep -- wolves are hell on sheep -- I 'd go crazy over this Yellowstone thing . """,sheep,"case(sheep-43, on-42) nmod:on(hell-41, sheep-43) ",NN,,,,,,,,on hell,on,hell,,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"<p> Even those known out West as "" banjo-eyed environmentalists "" no longer attempt to put the wolf in sheep 's clothing .",sheep,"case(sheep-20, 's-21) nmod:poss(clothing-22, sheep-20) ",NN,,,,,,,,,,,,,,,,,clothing,,,,,,,,,,,singular,,[],unknown,unknown
"In 1980 and 1981 we lost many bighorn to pinkeye ; the sheep could n't see where they were going and fell to their deaths , "" he said . """,sheep,"det(sheep-13, the-12) nsubj(see-16, sheep-13) nsubj(fell-22, sheep-13) ",NN,,VB,see,see,,,,,,,,the,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"During the pinkeye situation , wolves might have nipped the epidemic in the bud when the first few sheep began stumbling . """,sheep,"det(sheep-19, the-16) amod(sheep-19, first-17) amod(sheep-19, few-18) nsubj(began-20, sheep-19) ",NN,,VBD,began,begin,,,,,,,,the,,,,"first, few",,,,,,,,,,few,fuzzy,singular,ambiguous,[],unknown,unknown
"She is perfectly willing to eat the flesh of fish and chicken , who have beady eyes , according to her , but not that of cuddly creatures with big brown eyes -- not pandas , obviously , and not bears and pigs and sheep and certainly not Bessie and Bambi .",sheep,"conj:and(flesh-8, sheep-45) conj:and(bears-41, sheep-45) ",NN,,,,,,,,,,,,,"and, and","flesh, bears",,,,,,,,,,,,,,singular,,[],unknown,unknown
"In short order she had acquired 150 acres outside Ithaca , 30 beef cattle , 25 goats , five horses and assorted sheep , lambs , chickens , ponies , birds , dogs and cats .",sheep,"amod(sheep-23, assorted-22) conj:and(sheep-23, lambs-25) conj:and(sheep-23, chickens-27) conj:and(sheep-23, ponies-29) conj:and(sheep-23, birds-31) conj:and(sheep-23, dogs-33) cc(sheep-23, and-34) conj:and(sheep-23, cats-35) nmod:outside(acquired-6, sheep-23) conj:and(Ithaca-10, sheep-23) ",NN,,,,,,,,outside acquired,outside,acquired,,,"and, and, and, and, and, and, and","lambs, chickens, ponies, birds, dogs, cats, ithaca",,assorted,,,,,,,,,,,,singular,,[],unknown,unknown
"Much of Navajoland , an area the size of West Virginia , is significantly overgrazed by sheep , still a vital component of the Navajo way .",sheep,"case(sheep-17, by-16) nmod:by(overgrazed-15, sheep-17) ",NN,,,,,,,,by overgrazed,by,overgrazed,,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"It 's as though I 'm bringing a bunch of sheep onto the white canvas and am watching for the stragglers at the back , "" Hunter says with a laugh . """,sheep,"case(sheep-11, of-10) nmod:of(bunch-9, sheep-11) ",NN,,,,,,,,of bunch,of,bunch,,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"The sheep ' are color notes of varying values , and chances are that the stragglers are the dark notes .",sheep,"det(sheep-2, The-1) case(sheep-2, '-3) nsubj(notes-6, sheep-2) ",NN,,VBP,are,be,,,,,,,,the,,,,,,,,,,,,,,,,singular,plural,['EX-PL'],countable,unknown
"You must keep all those sheep together -- any good shepherd will tell you that . """,sheep,"det:predet(sheep-6, all-4) det(sheep-6, those-5) dobj(keep-3, sheep-6) ",NN,,VB,,,keep,keep,,,,,,"all, those",,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"The flora ranges from saguaro cactus to spruce forest and the fauna includes quail , roadrunners , red-tailed hawks , turkey vultures , cayotes , raccoons , cottontail rabbits , bighorn sheep , mountain lions , bobcats , and kit and gray foxes , all of which are likely subjects for Wilson 's special treatment .",sheep,"compound(sheep-32, bighorn-31) dobj(includes-13, sheep-32) conj:and(quail-14, sheep-32) ",NN,,VBZ,,,includes,include,,,,,,,and,quail,bighorn,,,,,,,,,,,,,singular,singular,[],unknown,unknown
"The sorts of people who buy our works are n't like sheep , buying whatever is known to be a valuable investment ; they really have to like the images they see "" Of the acclaim they are receiving for their paintings , Todd says , "" It 's not like being an overnight SoHo superstar , but we do have a strong following for our work .",sheep,"case(sheep-12, like-11) nmod:like(buying-14, sheep-12) ",NN,,,,,,,,like buying,like,buying,,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"Suspected of carrying the family "" weakness in the chest , "" he was sent at twenty to Texas , to the son of another Greensboro doctor , a sheep rancher who had use for an extra hand .",sheep,"compound(rancher-31, sheep-30) ",NN,,VBD,had,have,,,,,,,,,,,rancher,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
